Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
IE,IE 11,,2018-06-21 16:21:47,2018-06-21 16:21:54,7.708s,FAILED
,,,,,,
Test Cases/regg,IE 11,,2018-06-21 16:21:47,2018-06-21 16:21:54,7.165s,FAILED
openBrowser,IE 11,,2018-06-21 16:21:48,2018-06-21 16:21:52,4.541s,PASSED
navigateToUrl,IE 11,,2018-06-21 16:21:52,2018-06-21 16:21:52,0.132s,PASSED
verifyElementPresent,IE 11,,2018-06-21 16:21:52,2018-06-21 16:21:53,1.112s,FAILED
verifyElementPresent,IE 11,,2018-06-21 16:21:53,2018-06-21 16:21:53,0.072s,FAILED
verifyElementPresent,IE 11,,2018-06-21 16:21:53,2018-06-21 16:21:53,0.072s,FAILED
verifyElementPresent,IE 11,,2018-06-21 16:21:53,2018-06-21 16:21:53,0.059s,FAILED
verifyElementPresent,IE 11,,2018-06-21 16:21:53,2018-06-21 16:21:54,0.049s,FAILED
verifyElementPresent,IE 11,,2018-06-21 16:21:54,2018-06-21 16:21:54,0.050s,FAILED
closeBrowser,IE 11,,2018-06-21 16:21:54,2018-06-21 16:21:54,0.571s,PASSED
