Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
all_env,Chrome 66.0.3359.181,,2018-06-20 15:45:23,2018-06-20 15:46:10,47.355s,FAILED
,,,,,,
Test Cases/New Test Case,Chrome 66.0.3359.181,,2018-06-20 15:45:23,2018-06-20 15:46:10,46.543s,FAILED
openBrowser,Chrome 66.0.3359.181,,2018-06-20 15:45:24,2018-06-20 15:45:33,8.475s,PASSED
Statement - value1 = false,Chrome 66.0.3359.181,,2018-06-20 15:45:33,2018-06-20 15:45:33,0.002s,PASSED
Statement - value2 = true,Chrome 66.0.3359.181,,2018-06-20 15:45:33,2018-06-20 15:45:33,0.001s,PASSED
Statement - xxxx = null,Chrome 66.0.3359.181,,2018-06-20 15:45:33,2018-06-20 15:45:33,0.001s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-20 15:45:33,2018-06-20 15:45:35,1.999s,PASSED
click,Chrome 66.0.3359.181,,2018-06-20 15:45:35,2018-06-20 15:45:35,0.761s,PASSED
Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementVisible(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/spy_Made_for_Summer/a_Tile-linkOverlay js-tile-lin (1)))),Chrome 66.0.3359.181,,2018-06-20 15:45:35,2018-06-20 15:45:35,0.142s,PASSED
"Statement - If (value2 == com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementVisible(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/spy_Made_for_Summer/a_Tile-linkOverlay js-tile-lin), CONTINUE_ON_FAILURE))",Chrome 66.0.3359.181,,2018-06-20 15:45:35,2018-06-20 15:45:36,0.108s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 15:45:36,2018-06-20 15:45:36,0.024s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 15:45:36,2018-06-20 15:45:36,0.041s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 15:45:36,2018-06-20 15:45:36,0.036s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 15:45:36,2018-06-20 15:45:36,0.039s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 15:45:36,2018-06-20 15:45:36,0.040s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 15:45:36,2018-06-20 15:45:36,0.042s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 15:45:36,2018-06-20 15:45:36,0.038s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 15:45:36,2018-06-20 15:46:09,32.748s,FAILED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 15:46:09,2018-06-20 15:46:09,0.062s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 15:46:09,2018-06-20 15:46:09,0.049s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 15:46:09,2018-06-20 15:46:09,0.064s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 15:46:09,2018-06-20 15:46:09,0.080s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 15:46:09,2018-06-20 15:46:09,0.036s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-06-20 15:46:09,2018-06-20 15:46:10,1.111s,PASSED
