Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
all_envs,Chrome 66.0.3359.181,,2018-06-20 16:11:33,2018-06-20 16:11:45,11.772s,PASSED
,,,,,,
Test Cases/New Test Case,Chrome 66.0.3359.181,,2018-06-20 16:11:34,2018-06-20 16:11:45,11.235s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-06-20 16:11:34,2018-06-20 16:11:39,5.073s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-20 16:11:39,2018-06-20 16:11:42,3.281s,PASSED
click,Chrome 66.0.3359.181,,2018-06-20 16:11:42,2018-06-20 16:11:43,0.205s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:11:43,2018-06-20 16:11:43,0.059s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:11:43,2018-06-20 16:11:43,0.040s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:11:43,2018-06-20 16:11:43,0.038s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:11:43,2018-06-20 16:11:43,0.033s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:11:43,2018-06-20 16:11:43,0.026s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:11:43,2018-06-20 16:11:43,0.039s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:11:43,2018-06-20 16:11:43,0.045s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:11:43,2018-06-20 16:11:43,0.037s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:11:43,2018-06-20 16:11:43,0.041s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:11:43,2018-06-20 16:11:43,0.037s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:11:43,2018-06-20 16:11:43,0.045s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:11:43,2018-06-20 16:11:43,0.054s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:11:43,2018-06-20 16:11:43,0.035s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:11:43,2018-06-20 16:11:43,0.042s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:11:43,2018-06-20 16:11:43,0.038s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:11:43,2018-06-20 16:11:43,0.039s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:11:43,2018-06-20 16:11:43,0.042s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:11:43,2018-06-20 16:11:43,0.042s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:11:43,2018-06-20 16:11:43,0.074s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:11:43,2018-06-20 16:11:43,0.036s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:11:43,2018-06-20 16:11:44,0.035s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:11:44,2018-06-20 16:11:44,0.037s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:11:44,2018-06-20 16:11:44,0.044s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:11:44,2018-06-20 16:11:44,0.041s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:11:44,2018-06-20 16:11:44,0.057s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:11:44,2018-06-20 16:11:44,0.049s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-20 16:11:44,2018-06-20 16:11:44,0.038s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-06-20 16:11:44,2018-06-20 16:11:45,0.973s,PASSED
