Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
chrome,Chrome 66.0.3359.181,,2018-06-21 16:21:12,2018-06-21 16:21:23,10.877s,PASSED
,,,,,,
Test Cases/regg,Chrome 66.0.3359.181,,2018-06-21 16:21:13,2018-06-21 16:21:23,9.944s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-06-21 16:21:13,2018-06-21 16:21:18,5.338s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-21 16:21:18,2018-06-21 16:21:21,2.860s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-21 16:21:21,2018-06-21 16:21:21,0.110s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-21 16:21:21,2018-06-21 16:21:21,0.035s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-21 16:21:21,2018-06-21 16:21:21,0.047s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-21 16:21:21,2018-06-21 16:21:22,0.044s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-21 16:21:22,2018-06-21 16:21:22,0.041s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-21 16:21:22,2018-06-21 16:21:22,0.032s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-06-21 16:21:22,2018-06-21 16:21:23,0.923s,PASSED
