Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
firefox,Firefox 54.0,,2018-06-21 16:25:09,2018-06-21 16:25:32,23.100s,PASSED
,,,,,,
Test Cases/regg,Firefox 54.0,,2018-06-21 16:25:10,2018-06-21 16:25:32,21.992s,PASSED
openBrowser,Firefox 54.0,,2018-06-21 16:25:11,2018-06-21 16:25:28,16.586s,PASSED
navigateToUrl,Firefox 54.0,,2018-06-21 16:25:28,2018-06-21 16:25:31,3.029s,PASSED
verifyElementPresent,Firefox 54.0,,2018-06-21 16:25:31,2018-06-21 16:25:31,0.257s,PASSED
verifyElementPresent,Firefox 54.0,,2018-06-21 16:25:31,2018-06-21 16:25:31,0.057s,PASSED
verifyElementPresent,Firefox 54.0,,2018-06-21 16:25:31,2018-06-21 16:25:31,0.088s,PASSED
verifyElementPresent,Firefox 54.0,,2018-06-21 16:25:31,2018-06-21 16:25:31,0.056s,PASSED
verifyElementPresent,Firefox 54.0,,2018-06-21 16:25:31,2018-06-21 16:25:31,0.102s,PASSED
verifyElementPresent,Firefox 54.0,,2018-06-21 16:25:31,2018-06-21 16:25:31,0.055s,PASSED
closeBrowser,Firefox 54.0,,2018-06-21 16:25:31,2018-06-21 16:25:32,0.658s,PASSED
