Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
functionalsuite,Chrome 66.0.3359.181,,2018-06-19 19:42:22,2018-06-19 19:42:35,13.284s,PASSED
,,,,,,
Test Cases/New Test Case,Chrome 66.0.3359.181,,2018-06-19 19:42:23,2018-06-19 19:42:35,12.085s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-06-19 19:42:23,2018-06-19 19:42:30,6.169s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-19 19:42:30,2018-06-19 19:42:33,3.100s,PASSED
click,Chrome 66.0.3359.181,,2018-06-19 19:42:33,2018-06-19 19:42:33,0.213s,PASSED
click,Chrome 66.0.3359.181,,2018-06-19 19:42:33,2018-06-19 19:42:33,0.147s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 19:42:33,2018-06-19 19:42:33,0.040s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 19:42:33,2018-06-19 19:42:33,0.027s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 19:42:33,2018-06-19 19:42:33,0.038s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 19:42:33,2018-06-19 19:42:33,0.037s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 19:42:33,2018-06-19 19:42:33,0.038s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 19:42:33,2018-06-19 19:42:33,0.037s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 19:42:33,2018-06-19 19:42:33,0.034s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 19:42:33,2018-06-19 19:42:33,0.039s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 19:42:33,2018-06-19 19:42:33,0.043s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 19:42:33,2018-06-19 19:42:33,0.038s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 19:42:33,2018-06-19 19:42:33,0.038s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 19:42:33,2018-06-19 19:42:34,0.042s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 19:42:34,2018-06-19 19:42:34,0.048s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 19:42:34,2018-06-19 19:42:34,0.056s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 19:42:34,2018-06-19 19:42:34,0.052s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 19:42:34,2018-06-19 19:42:34,0.043s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 19:42:34,2018-06-19 19:42:34,0.046s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 19:42:34,2018-06-19 19:42:34,0.045s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-19 19:42:34,2018-06-19 19:42:34,0.137s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-06-19 19:42:34,2018-06-19 19:42:35,0.993s,PASSED
