Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
mainsuite_QA_02_NES_N1799,Chrome 66.0.3359.181,,2018-06-01 10:45:46,2018-06-01 10:46:22,36.103s,FAILED
,,,,,,
Test Cases/regression_02_NES_N1799,Chrome 66.0.3359.181,,2018-06-01 10:45:47,2018-06-01 10:46:18,31.280s,FAILED
openBrowser,Chrome 66.0.3359.181,,2018-06-01 10:45:48,2018-06-01 10:45:56,7.781s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-01 10:45:56,2018-06-01 10:46:02,6.114s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-06-01 10:46:02,2018-06-01 10:46:03,1.331s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-01 10:46:03,2018-06-01 10:46:04,0.462s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-01 10:46:04,2018-06-01 10:46:04,0.324s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-01 10:46:04,2018-06-01 10:46:04,0.165s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-01 10:46:04,2018-06-01 10:46:04,0.046s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-01 10:46:04,2018-06-01 10:46:04,0.051s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-06-01 10:46:04,2018-06-01 10:46:18,13.703s,FAILED
